Classifier_ID,Plate,trainsize_0,testsize_0,well_0,allele_0,trainsize_1,testsize_1,well_1,allele_1,AUROC
2025_06_02_B18A8A10R1_P2T1_M19_A19,2025_06_02_B18A8A10R1_P2T1,1935,467,M19,CCM2_Val53Ile,1159,198,A19,CCM2,0.8395410204832046
2025_06_02_B18A8A10R1_P2T2_M19_A19,2025_06_02_B18A8A10R1_P2T2,1785,617,M19,CCM2_Val53Ile,990,367,A19,CCM2,0.9685654856274759
2025_06_02_B18A8A10R1_P2T3_M19_A19,2025_06_02_B18A8A10R1_P2T3,1652,750,M19,CCM2_Val53Ile,875,482,A19,CCM2,0.9210539419087138
2025_06_02_B18A8A10R1_P2T4_M19_A19,2025_06_02_B18A8A10R1_P2T4,1834,568,M19,CCM2_Val53Ile,1047,310,A19,CCM2,0.9744661517492048
2025_06_02_B18A8A10R1_P2T1_C23_A19,2025_06_02_B18A8A10R1_P2T1,1046,358,C23,CCM2_Val53Ile,691,113,A19,CCM2,0.9949077965096159
2025_06_02_B18A8A10R1_P2T2_C23_A19,2025_06_02_B18A8A10R1_P2T2,1038,366,C23,CCM2_Val53Ile,564,240,A19,CCM2,0.9973132969034608
2025_06_02_B18A8A10R1_P2T3_C23_A19,2025_06_02_B18A8A10R1_P2T3,1065,339,C23,CCM2_Val53Ile,532,272,A19,CCM2,0.995596911330904
2025_06_02_B18A8A10R1_P2T4_C23_A19,2025_06_02_B18A8A10R1_P2T4,1063,341,C23,CCM2_Val53Ile,625,179,A19,CCM2,0.9984927669195105
2025_06_02_B18A8A10R1_P2T1_M19_I21,2025_06_02_B18A8A10R1_P2T1,1270,285,M19,CCM2_Val53Ile,381,91,I21,CCM2,0.9735106998264893
2025_06_02_B18A8A10R1_P2T2_M19_I21,2025_06_02_B18A8A10R1_P2T2,1066,489,M19,CCM2_Val53Ile,321,151,I21,CCM2,0.9873373149690543
2025_06_02_B18A8A10R1_P2T3_M19_I21,2025_06_02_B18A8A10R1_P2T3,1087,468,M19,CCM2_Val53Ile,341,131,I21,CCM2,0.9933450773145429
2025_06_02_B18A8A10R1_P2T4_M19_I21,2025_06_02_B18A8A10R1_P2T4,1242,313,M19,CCM2_Val53Ile,373,99,I21,CCM2,0.9906412366476264
2025_06_02_B18A8A10R1_P2T1_C23_I21,2025_06_02_B18A8A10R1_P2T1,367,111,C23,CCM2_Val53Ile,122,30,I21,CCM2,0.9990990990990991
2025_06_02_B18A8A10R1_P2T2_C23_I21,2025_06_02_B18A8A10R1_P2T2,258,220,C23,CCM2_Val53Ile,82,70,I21,CCM2,0.9944155844155844
2025_06_02_B18A8A10R1_P2T3_C23_I21,2025_06_02_B18A8A10R1_P2T3,405,73,C23,CCM2_Val53Ile,127,25,I21,CCM2,0.9967123287671233
2025_06_02_B18A8A10R1_P2T4_C23_I21,2025_06_02_B18A8A10R1_P2T4,404,74,C23,CCM2_Val53Ile,125,27,I21,CCM2,0.993993993993994
2025_06_03_B19A8A10R1_P2T1_M19_A19,2025_06_03_B19A8A10R1_P2T1,938,358,M19,CCM2_Val53Ile,892,155,A19,CCM2,0.9622094071003784
2025_06_04_B19A8A10R1_P2T2_M19_A19,2025_06_04_B19A8A10R1_P2T2,1012,284,M19,CCM2_Val53Ile,789,258,A19,CCM2,0.9910470575390327
2025_06_04_B19A8A10R1_P2T3_M19_A19,2025_06_04_B19A8A10R1_P2T3,946,350,M19,CCM2_Val53Ile,648,399,A19,CCM2,0.9388041532402435
2025_06_04_B19A8A10R1_P2T4_M19_A19,2025_06_04_B19A8A10R1_P2T4,992,304,M19,CCM2_Val53Ile,812,235,A19,CCM2,0.9934630459126539
2025_06_03_B19A8A10R1_P2T1_C23_A19,2025_06_03_B19A8A10R1_P2T1,1048,340,C23,CCM2_Val53Ile,957,145,A19,CCM2,0.9744016227180528
2025_06_04_B19A8A10R1_P2T2_C23_A19,2025_06_04_B19A8A10R1_P2T2,960,428,C23,CCM2_Val53Ile,752,350,A19,CCM2,0.9829372496662216
2025_06_04_B19A8A10R1_P2T3_C23_A19,2025_06_04_B19A8A10R1_P2T3,1159,229,C23,CCM2_Val53Ile,852,250,A19,CCM2,0.981711790393013
2025_06_04_B19A8A10R1_P2T4_C23_A19,2025_06_04_B19A8A10R1_P2T4,997,391,C23,CCM2_Val53Ile,745,357,A19,CCM2,0.9879071833336914
2025_06_03_B19A8A10R1_P2T1_M19_I21,2025_06_03_B19A8A10R1_P2T1,498,145,M19,CCM2_Val53Ile,280,47,I21,CCM2,0.9950110051357299
2025_06_04_B19A8A10R1_P2T2_M19_I21,2025_06_04_B19A8A10R1_P2T2,524,119,M19,CCM2_Val53Ile,250,77,I21,CCM2,0.9921423114700426
2025_06_04_B19A8A10R1_P2T3_M19_I21,2025_06_04_B19A8A10R1_P2T3,396,247,M19,CCM2_Val53Ile,193,134,I21,CCM2,0.9818115898241586
2025_06_04_B19A8A10R1_P2T4_M19_I21,2025_06_04_B19A8A10R1_P2T4,511,132,M19,CCM2_Val53Ile,258,69,I21,CCM2,0.9990118577075099
2025_06_03_B19A8A10R1_P2T1_C23_I21,2025_06_03_B19A8A10R1_P2T1,613,122,C23,CCM2_Val53Ile,360,39,I21,CCM2,0.9777217318200925
2025_06_04_B19A8A10R1_P2T2_C23_I21,2025_06_04_B19A8A10R1_P2T2,491,244,C23,CCM2_Val53Ile,272,127,I21,CCM2,0.9940944881889764
2025_06_04_B19A8A10R1_P2T3_C23_I21,2025_06_04_B19A8A10R1_P2T3,617,118,C23,CCM2_Val53Ile,339,60,I21,CCM2,0.9997175141242939
2025_06_04_B19A8A10R1_P2T4_C23_I21,2025_06_04_B19A8A10R1_P2T4,484,251,C23,CCM2_Val53Ile,226,173,I21,CCM2,0.991594316376114
